date,timestamp,totalValue,portfolioCount,portfolioId,portfolioName,portfolioValue,entryCount,entryId,symbol,type,shares,currentPrice,change,valueTWD,targetPct
2026-04-20,2026-04-20T15:32:32.994Z,3605010.93,2,,,,,,,,,,,,
,,,,1771739140545,國泰,2151551.5,5,,,,,,,,
,,,,,,,,1771739073757,00631L,TW,35244,25.99,1.5631105900742421,915991.56,32
,,,,,,,,1771739088789,SHLD,US,97,73.3499984741211,-0.5288873418482521,224070.87,14
,,,,,,,,1771739103427,QLD,US,148,76.7300033569336,2.5802183916224553,357635.39,20
,,,,,,,,1771739115751,UFO,US,159,54.689998626708984,-0.018284046235865572,273853.68,14
,,,,,,,,1771739139088,TWD CASH,cash,380000,1,0,380000,20
,,,,1771743053489,第一金,1453459.4300000002,4,,,,,,,,
,,,,,,,,1771742957222,00713,TW,9000,54.2,0.3703703703703756,487800,37
,,,,,,,,1771742979259,00910,TW,3000,71.25,-0.6968641114982579,213750,13
,,,,,,,,1771743023570,00631L,TW,26057,25.99,1.5631105900742421,677221.43,45
,,,,,,,,1771743050550,00994A,TW,4800,15.56,1.8991486574983687,74688,5