date,ts,value,breakdown
2026-02-22,2026-02-22T08:12:20.227Z,3199322.51571335,"[{""id"":""1771739140545"",""name"":""1"",""value"":1932749.4157133498,""entries"":[{""id"":1771739073757,""symbol"":""00631L"",""type"":""TW"",""shares"":""1602"",""currentPrice"":486.1,""change"":0,""valueTWD"":778732.2000000001,""targetPct"":32},{""id"":1771739088789,""symbol"":""SHLD"",""type"":""US"",""shares"":""97"",""currentPrice"":75.46,""change"":-0.3434,""valueTWD"":230848.04206309997,""targetPct"":14},{""id"":1771739103427,""symbol"":""QLD"",""type"":""US"",""shares"":""148"",""currentPrice"":68.4,""change"":1.7252,""valueTWD"":319268.06301600003,""targetPct"":20},{""id"":1771739115751,""symbol"":""UFO"",""type"":""US"",""shares"":""159"",""currentPrice"":44.65,""change"":-1.326,""valueTWD"":223901.11063424998,""targetPct"":14},{""id"":1771739139088,""symbol"":"""",""type"":""cash"",""shares"":""380000"",""currentPrice"":1,""change"":0,""valueTWD"":380000,""targetPct"":20}]},{""id"":""1771743053489"",""name"":""2"",""value"":1266573.1,""entries"":[{""id"":1771742957222,""symbol"":""00713"",""type"":""TW"",""shares"":""9000"",""currentPrice"":52.4,""change"":0.6724303554274763,""valueTWD"":471600,""targetPct"":37},{""id"":1771742979259,""symbol"":""00910"",""type"":""TW"",""shares"":""3000"",""currentPrice"":55.15,""change"":-1.955555555555558,""valueTWD"":165450,""targetPct"":13},{""id"":1771743023570,""symbol"":""00631L"",""type"":""TW"",""shares"":""1171"",""currentPrice"":486.1,""change"":0,""valueTWD"":569223.1,""targetPct"":45},{""id"":1771743050550,""symbol"":""00991A"",""type"":""TW"",""shares"":""5000"",""currentPrice"":12.06,""change"":2.3769100169779387,""valueTWD"":60300,""targetPct"":5}]}]"
2026-02-23,2026-02-23T06:17:48.735Z,3207477.12,"[{""id"":""1771739140545"",""name"":""1"",""value"":1933501.4200000002,""entries"":[{""id"":1771739073757,""symbol"":""00631L"",""type"":""TW"",""shares"":""1602"",""currentPrice"":486.7,""change"":0.12343139271754082,""valueTWD"":779693.4,""targetPct"":32},{""id"":1771739088789,""symbol"":""SHLD"",""type"":""US"",""shares"":""97"",""currentPrice"":75.46,""change"":-0.34337031167459736,""valueTWD"":230785.65,""targetPct"":14},{""id"":1771739103427,""symbol"":""QLD"",""type"":""US"",""shares"":""148"",""currentPrice"":68.4,""change"":1.7251635930993616,""valueTWD"":319181.77,""targetPct"":20},{""id"":1771739115751,""symbol"":""UFO"",""type"":""US"",""shares"":""159"",""currentPrice"":44.65,""change"":-1.3259668508287323,""valueTWD"":223840.6,""targetPct"":14},{""id"":1771739139088,""symbol"":"""",""type"":""cash"",""shares"":""380000"",""currentPrice"":1,""change"":0,""valueTWD"":380000,""targetPct"":20}]},{""id"":""1771743053489"",""name"":""2"",""value"":1273975.7,""entries"":[{""id"":1771742957222,""symbol"":""00713"",""type"":""TW"",""shares"":""9000"",""currentPrice"":53.4,""change"":1.9083969465648856,""valueTWD"":480600,""targetPct"":37},{""id"":1771742979259,""symbol"":""00910"",""type"":""TW"",""shares"":""3000"",""currentPrice"":54.1,""change"":-1.9038984587488614,""valueTWD"":162300,""targetPct"":13},{""id"":1771743023570,""symbol"":""00631L"",""type"":""TW"",""shares"":""1171"",""currentPrice"":486.7,""change"":0.12343139271754082,""valueTWD"":569925.7,""targetPct"":45},{""id"":1771743050550,""symbol"":""00991A"",""type"":""TW"",""shares"":""5000"",""currentPrice"":12.23,""change"":1.4096185737976776,""valueTWD"":61150,""targetPct"":5}]}]"
2026-02-24,2026-02-24T06:00:50.044Z,3273736.23,"[{""id"":""1771739140545"",""name"":""1"",""value"":1962182.38,""entries"":[{""id"":1771739073757,""symbol"":""00631L"",""type"":""TW"",""shares"":""1602"",""currentPrice"":514.35,""change"":5.681117731662222,""valueTWD"":823988.7,""targetPct"":32},{""id"":1771739088789,""symbol"":""SHLD"",""type"":""US"",""shares"":""97"",""currentPrice"":74.34,""change"":-1.4842300556586145,""valueTWD"":226782.19,""targetPct"":14},{""id"":1771739103427,""symbol"":""QLD"",""type"":""US"",""shares"":""148"",""currentPrice"":66.75,""change"":-2.412280701754394,""valueTWD"":310690.26,""targetPct"":20},{""id"":1771739115751,""symbol"":""UFO"",""type"":""US"",""shares"":""159"",""currentPrice"":44.14,""change"":-1.142217245240757,""valueTWD"":220721.23,""targetPct"":14},{""id"":1771739139088,""symbol"":"""",""type"":""cash"",""shares"":""380000"",""currentPrice"":1,""change"":0,""valueTWD"":380000,""targetPct"":20}]},{""id"":""1771743053489"",""name"":""2"",""value"":1311553.85,""entries"":[{""id"":1771742957222,""symbol"":""00713"",""type"":""TW"",""shares"":""9000"",""currentPrice"":53.6,""change"":0.37453183520599787,""valueTWD"":482400,""targetPct"":37},{""id"":1771742979259,""symbol"":""00910"",""type"":""TW"",""shares"":""3000"",""currentPrice"":54.35,""change"":0.4621072088724584,""valueTWD"":163050,""targetPct"":13},{""id"":1771743023570,""symbol"":""00631L"",""type"":""TW"",""shares"":""1171"",""currentPrice"":514.35,""change"":5.681117731662222,""valueTWD"":602303.85,""targetPct"":45},{""id"":1771743050550,""symbol"":""00991A"",""type"":""TW"",""shares"":""5000"",""currentPrice"":12.76,""change"":4.333605887162709,""valueTWD"":63800,""targetPct"":5}]}]"
2026-02-25,2026-02-25T06:00:40.668Z,3345349.8200000003,"[{""id"":""1771739140545"",""name"":""1"",""value"":2005102.9200000002,""entries"":[{""id"":1771739073757,""symbol"":""00631L"",""type"":""TW"",""shares"":""1602"",""currentPrice"":533.9,""change"":3.8110052498541753,""valueTWD"":855307.8,""targetPct"":32},{""id"":1771739088789,""symbol"":""SHLD"",""type"":""US"",""shares"":""97"",""currentPrice"":74.89,""change"":0.7398439601829394,""valueTWD"":228460.03,""targetPct"":14},{""id"":1771739103427,""symbol"":""QLD"",""type"":""US"",""shares"":""148"",""currentPrice"":68.13,""change"":2.067415730337072,""valueTWD"":317113.52,""targetPct"":20},{""id"":1771739115751,""symbol"":""UFO"",""type"":""US"",""shares"":""159"",""currentPrice"":44.84,""change"":1.5858631626642565,""valueTWD"":224221.57,""targetPct"":14},{""id"":1771739139088,""symbol"":"""",""type"":""cash"",""shares"":""380000"",""currentPrice"":1,""change"":0,""valueTWD"":380000,""targetPct"":20}]},{""id"":""1771743053489"",""name"":""2"",""value"":1340246.9,""entries"":[{""id"":1771742957222,""symbol"":""00713"",""type"":""TW"",""shares"":""9000"",""currentPrice"":53.85,""change"":0.3727865796831367,""valueTWD"":484650,""targetPct"":37},{""id"":1771742979259,""symbol"":""00910"",""type"":""TW"",""shares"":""3000"",""currentPrice"":55.4,""change"":1.7447199265381006,""valueTWD"":166200,""targetPct"":13},{""id"":1771743023570,""symbol"":""00631L"",""type"":""TW"",""shares"":""1171"",""currentPrice"":533.9,""change"":3.8110052498541753,""valueTWD"":625196.9,""targetPct"":45},{""id"":1771743050550,""symbol"":""00991A"",""type"":""TW"",""shares"":""5000"",""currentPrice"":12.84,""change"":0.7058823529411754,""valueTWD"":64200,""targetPct"":5}]}]"
2026-02-26,2026-02-26T06:19:38.627Z,3358249.3600000003,"[{""id"":""1771739140545"",""name"":""國泰"",""value"":2011977.01,""entries"":[{""id"":1771739073757,""symbol"":""00631L"",""type"":""TW"",""shares"":""1602"",""currentPrice"":537.85,""change"":0.7398389211462906,""valueTWD"":861635.7,""targetPct"":32},{""id"":1771739088789,""symbol"":""SHLD"",""type"":""US"",""shares"":""97"",""currentPrice"":73.92,""change"":-1.2952330084123367,""valueTWD"":224533,""targetPct"":14},{""id"":1771739103427,""symbol"":""QLD"",""type"":""US"",""shares"":""148"",""currentPrice"":70.08,""change"":2.8621752531924307,""valueTWD"":324789.74,""targetPct"":20},{""id"":1771739115751,""symbol"":""UFO"",""type"":""US"",""shares"":""159"",""currentPrice"":44.39,""change"":-1.0035682426405057,""valueTWD"":221018.57,""targetPct"":14},{""id"":1771739139088,""symbol"":"""",""type"":""cash"",""shares"":""380000"",""currentPrice"":1,""change"":0,""valueTWD"":380000,""targetPct"":20}]},{""id"":""1771743053489"",""name"":""第一金"",""value"":1346272.35,""entries"":[{""id"":1771742957222,""symbol"":""00713"",""type"":""TW"",""shares"":""9000"",""currentPrice"":54,""change"":0.27855153203342353,""valueTWD"":486000,""targetPct"":37},{""id"":1771742979259,""symbol"":""00910"",""type"":""TW"",""shares"":""3000"",""currentPrice"":55.35,""change"":-0.09025270758122231,""valueTWD"":166050,""targetPct"":13},{""id"":1771743023570,""symbol"":""00631L"",""type"":""TW"",""shares"":""1171"",""currentPrice"":537.85,""change"":0.7398389211462906,""valueTWD"":629822.35,""targetPct"":45},{""id"":1771743050550,""symbol"":""00991A"",""type"":""TW"",""shares"":""5000"",""currentPrice"":12.88,""change"":0.311526479750786,""valueTWD"":64400,""targetPct"":5}]}]"
2026-02-27,2026-02-27T06:52:30.296Z,3353545.3000000003,"[{""id"":""1771739140545"",""name"":""國泰"",""value"":2007272.9500000002,""entries"":[{""id"":1771739073757,""symbol"":""00631L"",""type"":""TW"",""shares"":""1602"",""currentPrice"":537.85,""change"":0.7398389211462906,""valueTWD"":861635.7,""targetPct"":32},{""id"":1771739088789,""symbol"":""SHLD"",""type"":""US"",""shares"":""97"",""currentPrice"":74.34,""change"":0.5681818181818205,""valueTWD"":225450.35,""targetPct"":14},{""id"":1771739103427,""symbol"":""QLD"",""type"":""US"",""shares"":""148"",""currentPrice"":68.44,""change"":-2.3401826484018273,""valueTWD"":316685.61,""targetPct"":20},{""id"":1771739115751,""symbol"":""UFO"",""type"":""US"",""shares"":""159"",""currentPrice"":44.96,""change"":1.2840729894120304,""valueTWD"":223501.29,""targetPct"":14},{""id"":1771739139088,""symbol"":"""",""type"":""cash"",""shares"":""380000"",""currentPrice"":1,""change"":0,""valueTWD"":380000,""targetPct"":20}]},{""id"":""1771743053489"",""name"":""第一金"",""value"":1346272.35,""entries"":[{""id"":1771742957222,""symbol"":""00713"",""type"":""TW"",""shares"":""9000"",""currentPrice"":54,""change"":0.27855153203342353,""valueTWD"":486000,""targetPct"":37},{""id"":1771742979259,""symbol"":""00910"",""type"":""TW"",""shares"":""3000"",""currentPrice"":55.35,""change"":-0.09025270758122231,""valueTWD"":166050,""targetPct"":13},{""id"":1771743023570,""symbol"":""00631L"",""type"":""TW"",""shares"":""1171"",""currentPrice"":537.85,""change"":0.7398389211462906,""valueTWD"":629822.35,""targetPct"":45},{""id"":1771743050550,""symbol"":""00991A"",""type"":""TW"",""shares"":""5000"",""currentPrice"":12.88,""change"":0.311526479750786,""valueTWD"":64400,""targetPct"":5}]}]"
2026-02-28,2026-02-27T21:23:36.848Z,3350465.4000000004,"[{""id"":""1771739140545"",""name"":""國泰"",""value"":2004193.05,""entries"":[{""id"":1771739073757,""symbol"":""00631L"",""type"":""TW"",""shares"":""1602"",""currentPrice"":537.85,""change"":0.7398389211462906,""valueTWD"":861635.7,""targetPct"":32},{""id"":1771739088789,""symbol"":""SHLD"",""type"":""US"",""shares"":""97"",""currentPrice"":74.86,""change"":0.6994888350820501,""valueTWD"":227027.35,""targetPct"":14},{""id"":1771739103427,""symbol"":""QLD"",""type"":""US"",""shares"":""148"",""currentPrice"":67.96,""change"":-0.7013442431326767,""valueTWD"":314464.55,""targetPct"":20},{""id"":1771739115751,""symbol"":""UFO"",""type"":""US"",""shares"":""159"",""currentPrice"":44.47,""change"":-1.089857651245556,""valueTWD"":221065.45,""targetPct"":14},{""id"":1771739139088,""symbol"":"""",""type"":""cash"",""shares"":""380000"",""currentPrice"":1,""change"":0,""valueTWD"":380000,""targetPct"":20}]},{""id"":""1771743053489"",""name"":""第一金"",""value"":1346272.35,""entries"":[{""id"":1771742957222,""symbol"":""00713"",""type"":""TW"",""shares"":""9000"",""currentPrice"":54,""change"":0.27855153203342353,""valueTWD"":486000,""targetPct"":37},{""id"":1771742979259,""symbol"":""00910"",""type"":""TW"",""shares"":""3000"",""currentPrice"":55.35,""change"":-0.09025270758122231,""valueTWD"":166050,""targetPct"":13},{""id"":1771743023570,""symbol"":""00631L"",""type"":""TW"",""shares"":""1171"",""currentPrice"":537.85,""change"":0.7398389211462906,""valueTWD"":629822.35,""targetPct"":45},{""id"":1771743050550,""symbol"":""00991A"",""type"":""TW"",""shares"":""5000"",""currentPrice"":12.88,""change"":0.311526479750786,""valueTWD"":64400,""targetPct"":5}]}]"
2026-03-01,2026-03-01T06:00:07.111Z,3380734.8200000003,"[{""id"":""1771739140545"",""name"":""國泰"",""value"":2034462.47,""entries"":[{""id"":1771739073757,""symbol"":""00631L"",""type"":""TW"",""shares"":""1602"",""currentPrice"":537.85,""change"":0.7398389211462906,""valueTWD"":861635.7,""targetPct"":32},{""id"":1771739088789,""symbol"":""SHLD"",""type"":""US"",""shares"":""97"",""currentPrice"":74.86,""change"":0.6994888350820501,""valueTWD"":235996.15,""targetPct"":14},{""id"":1771739103427,""symbol"":""QLD"",""type"":""US"",""shares"":""148"",""currentPrice"":67.99,""change"":-0.6575102279368832,""valueTWD"":327031.9,""targetPct"":20},{""id"":1771739115751,""symbol"":""UFO"",""type"":""US"",""shares"":""159"",""currentPrice"":44.47,""change"":-1.089857651245556,""valueTWD"":229798.72,""targetPct"":14},{""id"":1771739139088,""symbol"":"""",""type"":""cash"",""shares"":""380000"",""currentPrice"":1,""change"":0,""valueTWD"":380000,""targetPct"":20}]},{""id"":""1771743053489"",""name"":""第一金"",""value"":1346272.35,""entries"":[{""id"":1771742957222,""symbol"":""00713"",""type"":""TW"",""shares"":""9000"",""currentPrice"":54,""change"":0.27855153203342353,""valueTWD"":486000,""targetPct"":37},{""id"":1771742979259,""symbol"":""00910"",""type"":""TW"",""shares"":""3000"",""currentPrice"":55.35,""change"":-0.09025270758122231,""valueTWD"":166050,""targetPct"":13},{""id"":1771743023570,""symbol"":""00631L"",""type"":""TW"",""shares"":""1171"",""currentPrice"":537.85,""change"":0.7398389211462906,""valueTWD"":629822.35,""targetPct"":45},{""id"":1771743050550,""symbol"":""00991A"",""type"":""TW"",""shares"":""5000"",""currentPrice"":12.88,""change"":0.311526479750786,""valueTWD"":64400,""targetPct"":5}]}]"
2026-03-02,2026-03-02T06:10:18.344Z,3316719.4699999997,"[{""id"":""1771739140545"",""name"":""國泰"",""value"":1988330.72,""entries"":[{""id"":1771739073757,""symbol"":""00631L"",""type"":""TW"",""shares"":""1602"",""currentPrice"":526.25,""change"":-2.156735149205173,""valueTWD"":843052.5,""targetPct"":32},{""id"":1771739088789,""symbol"":""SHLD"",""type"":""US"",""shares"":""97"",""currentPrice"":74.86,""change"":0.6994888350820501,""valueTWD"":227795.93,""targetPct"":14},{""id"":1771739103427,""symbol"":""QLD"",""type"":""US"",""shares"":""148"",""currentPrice"":67.99,""change"":-0.6575102279368832,""valueTWD"":315668.44,""targetPct"":20},{""id"":1771739115751,""symbol"":""UFO"",""type"":""US"",""shares"":""159"",""currentPrice"":44.47,""change"":-1.089857651245556,""valueTWD"":221813.85,""targetPct"":14},{""id"":1771739139088,""symbol"":"""",""type"":""cash"",""shares"":""380000"",""currentPrice"":1,""change"":0,""valueTWD"":380000,""targetPct"":20}]},{""id"":""1771743053489"",""name"":""第一金"",""value"":1328388.75,""entries"":[{""id"":1771742957222,""symbol"":""00713"",""type"":""TW"",""shares"":""9000"",""currentPrice"":53.6,""change"":-0.740740740740738,""valueTWD"":482400,""targetPct"":37},{""id"":1771742979259,""symbol"":""00910"",""type"":""TW"",""shares"":""3000"",""currentPrice"":55.35,""change"":0.09033423667569496,""valueTWD"":166050,""targetPct"":13},{""id"":1771743023570,""symbol"":""00631L"",""type"":""TW"",""shares"":""1171"",""currentPrice"":526.25,""change"":-2.156735149205173,""valueTWD"":616238.75,""targetPct"":45},{""id"":1771743050550,""symbol"":""00991A"",""type"":""TW"",""shares"":""5000"",""currentPrice"":12.74,""change"":-1.0869565217391348,""valueTWD"":63700,""targetPct"":5}]}]"
2026-03-03,2026-03-03T06:00:38.078Z,3264666.45,"[{""id"":""1771739140545"",""name"":""國泰"",""value"":1968189.5,""entries"":[{""id"":1771739073757,""symbol"":""00631L"",""type"":""TW"",""shares"":""1602"",""currentPrice"":500.45,""change"":-4.9026128266033275,""valueTWD"":801720.9,""targetPct"":32},{""id"":1771739088789,""symbol"":""SHLD"",""type"":""US"",""shares"":""97"",""currentPrice"":77.08,""change"":2.96553566657761,""valueTWD"":236129.25,""targetPct"":14},{""id"":1771739103427,""symbol"":""QLD"",""type"":""US"",""shares"":""148"",""currentPrice"":68.13,""change"":0.20591263421091424,""valueTWD"":318446.48,""targetPct"":20},{""id"":1771739115751,""symbol"":""UFO"",""type"":""US"",""shares"":""159"",""currentPrice"":46.18,""change"":3.8452889588486636,""valueTWD"":231892.87,""targetPct"":14},{""id"":1771739139088,""symbol"":"""",""type"":""cash"",""shares"":""380000"",""currentPrice"":1,""change"":0,""valueTWD"":380000,""targetPct"":20}]},{""id"":""1771743053489"",""name"":""第一金"",""value"":1296476.95,""entries"":[{""id"":1771742957222,""symbol"":""00713"",""type"":""TW"",""shares"":""9000"",""currentPrice"":53.25,""change"":-0.6529850746268684,""valueTWD"":479250,""targetPct"":37},{""id"":1771742979259,""symbol"":""00910"",""type"":""TW"",""shares"":""3000"",""currentPrice"":56.65,""change"":2.348690153568197,""valueTWD"":169950,""targetPct"":13},{""id"":1771743023570,""symbol"":""00631L"",""type"":""TW"",""shares"":""1171"",""currentPrice"":500.45,""change"":-4.9026128266033275,""valueTWD"":586026.95,""targetPct"":45},{""id"":1771743050550,""symbol"":""00991A"",""type"":""TW"",""shares"":""5000"",""currentPrice"":12.25,""change"":-3.8461538461538476,""valueTWD"":61250,""targetPct"":5}]}]"
2026-03-04,2026-03-04T06:15:07.067Z,3116076.76,"[{""id"":""1771739140545"",""name"":""國泰"",""value"":1894307.2599999998,""entries"":[{""id"":1771739073757,""symbol"":""00631L"",""type"":""TW"",""shares"":""1627"",""currentPrice"":454.5,""change"":-9.181736437206514,""valueTWD"":739471.5,""targetPct"":32},{""id"":1771739088789,""symbol"":""SHLD"",""type"":""US"",""shares"":""97"",""currentPrice"":76.79,""change"":-0.3762324857291023,""valueTWD"":235240.85,""targetPct"":14},{""id"":1771739103427,""symbol"":""QLD"",""type"":""US"",""shares"":""148"",""currentPrice"":66.68,""change"":-2.128284162630249,""valueTWD"":311669.03,""targetPct"":20},{""id"":1771739115751,""symbol"":""UFO"",""type"":""US"",""shares"":""159"",""currentPrice"":45.39,""change"":-1.710697271546122,""valueTWD"":227925.88,""targetPct"":14},{""id"":1771739139088,""symbol"":"""",""type"":""cash"",""shares"":""380000"",""currentPrice"":1,""change"":0,""valueTWD"":380000,""targetPct"":20}]},{""id"":""1771743053489"",""name"":""第一金"",""value"":1221769.5,""entries"":[{""id"":1771742957222,""symbol"":""00713"",""type"":""TW"",""shares"":""9000"",""currentPrice"":51.85,""change"":-2.629107981220655,""valueTWD"":466650,""targetPct"":37},{""id"":1771742979259,""symbol"":""00910"",""type"":""TW"",""shares"":""3000"",""currentPrice"":55,""change"":-2.912621359223299,""valueTWD"":165000,""targetPct"":13},{""id"":1771743023570,""symbol"":""00631L"",""type"":""TW"",""shares"":""1171"",""currentPrice"":454.5,""change"":-9.181736437206514,""valueTWD"":532219.5,""targetPct"":45},{""id"":1771743050550,""symbol"":""00991A"",""type"":""TW"",""shares"":""5000"",""currentPrice"":11.58,""change"":-5.469387755102041,""valueTWD"":57900,""targetPct"":5}]}]"
2026-03-05,2026-03-05T07:35:38.976Z,3218151.99,"[{""id"":""1771739140545"",""name"":""國泰"",""value"":1953227.19,""entries"":[{""id"":1771739073757,""symbol"":""00631L"",""type"":""TW"",""shares"":""1627"",""currentPrice"":478.8,""change"":5.3465346534653495,""valueTWD"":779007.6,""targetPct"":32},{""id"":1771739088789,""symbol"":""SHLD"",""type"":""US"",""shares"":""97"",""currentPrice"":77.31,""change"":0.6771715067065972,""valueTWD"":237825.09,""targetPct"":14},{""id"":1771739103427,""symbol"":""QLD"",""type"":""US"",""shares"":""148"",""currentPrice"":68.65,""change"":2.9544091181763625,""valueTWD"":322220.01,""targetPct"":20},{""id"":1771739115751,""symbol"":""UFO"",""type"":""US"",""shares"":""159"",""currentPrice"":46.44,""change"":2.3132848645075943,""valueTWD"":234174.49,""targetPct"":14},{""id"":1771739139088,""symbol"":"""",""type"":""cash"",""shares"":""380000"",""currentPrice"":1,""change"":0,""valueTWD"":380000,""targetPct"":20}]},{""id"":""1771743053489"",""name"":""第一金"",""value"":1264924.8,""entries"":[{""id"":1771742957222,""symbol"":""00713"",""type"":""TW"",""shares"":""9000"",""currentPrice"":52.55,""change"":1.3500482160077063,""valueTWD"":472950,""targetPct"":37},{""id"":1771742979259,""symbol"":""00910"",""type"":""TW"",""shares"":""3000"",""currentPrice"":56.9,""change"":3.454545454545452,""valueTWD"":170700,""targetPct"":13},{""id"":1771743023570,""symbol"":""00631L"",""type"":""TW"",""shares"":""1171"",""currentPrice"":478.8,""change"":5.3465346534653495,""valueTWD"":560674.8,""targetPct"":45},{""id"":1771743050550,""symbol"":""00991A"",""type"":""TW"",""shares"":""5000"",""currentPrice"":12.12,""change"":4.663212435233153,""valueTWD"":60600,""targetPct"":5}]}]"
2026-03-06,2026-03-06T07:14:10.454Z,3195601.12,"[{""id"":""1771739140545"",""name"":""國泰"",""value"":1934304.57,""entries"":[{""id"":1771739073757,""symbol"":""00631L"",""type"":""TW"",""shares"":""1627"",""currentPrice"":478.05,""change"":-0.15664160401002505,""valueTWD"":777787.35,""targetPct"":32},{""id"":1771739088789,""symbol"":""SHLD"",""type"":""US"",""shares"":""97"",""currentPrice"":75,""change"":-2.9879705083430372,""valueTWD"":230422.14,""targetPct"":14},{""id"":1771739103427,""symbol"":""QLD"",""type"":""US"",""shares"":""148"",""currentPrice"":68.26,""change"":-0.5680990531682455,""valueTWD"":319977.32,""targetPct"":20},{""id"":1771739115751,""symbol"":""UFO"",""type"":""US"",""shares"":""159"",""currentPrice"":44.9,""change"":-3.316106804478896,""valueTWD"":226117.76,""targetPct"":14},{""id"":1771739139088,""symbol"":"""",""type"":""cash"",""shares"":""380000"",""currentPrice"":1,""change"":0,""valueTWD"":380000,""targetPct"":20}]},{""id"":""1771743053489"",""name"":""第一金"",""value"":1261296.55,""entries"":[{""id"":1771742957222,""symbol"":""00713"",""type"":""TW"",""shares"":""9000"",""currentPrice"":52.6,""change"":0.09514747859182543,""valueTWD"":473400,""targetPct"":37},{""id"":1771742979259,""symbol"":""00910"",""type"":""TW"",""shares"":""3000"",""currentPrice"":56,""change"":-1.5817223198594001,""valueTWD"":168000,""targetPct"":13},{""id"":1771743023570,""symbol"":""00631L"",""type"":""TW"",""shares"":""1171"",""currentPrice"":478.05,""change"":-0.15664160401002505,""valueTWD"":559796.55,""targetPct"":45},{""id"":1771743050550,""symbol"":""00991A"",""type"":""TW"",""shares"":""5000"",""currentPrice"":12.02,""change"":-0.8250825082508222,""valueTWD"":60100,""targetPct"":5}]}]"
